"Category","B cell cycling","CD8-positive, alpha-beta T cell","IgA plasma cell","IgG plasma cell","T follicular helper cell","T-helper 1 cell","T-helper 17 cell","activated CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","conventional type 1 dendritic cell","conventional type 2 dendritic cell","cycling dendritic cell","cycling gamma-delta T cell","follicular B cell","gamma-delta T cell","innate lymphoid cell","macrophage","mast cell","memory B cell","monocyte","natural killer cell","plasmacytoid dendritic cell","regulatory T cell"
"FTL",2335.9636,1458.1511,1679.407,1437.8528,1235.68175,1324.56205,1262.4668,1121.4952,1310.6929,4165.9577,5034.90265,17227.1535,1064.333,1740.3412,1953.85055,1417.4344,16635.673,4062.0386,1881.6472,19750.72,1409.195,1709.8889,1547.58835
"CD63",63.732834,,274.1864,268.46838,,,,,,243.07707,220.10848,904.12546,336.28516,,370.560775,261.91724,758.8288,1366.7871,,650.0542,359.13092,167.30801,
"TPSB2",,,,,,,,,,,,,,,,,,27974.168,,,,,
"TPSAB1",,,,,,,,,,,,,,,,,,25517.068,,,,,
"HPGDS",,,,,,,,,,,,,,,,,,1010.1011,,,,,
"CPA3",,,,,,,,,,,,,,,,,,1770.6951,,,,,
"CD37",219.28754,304.971,,30.648523,318.29483,245.79112,216.05272,253.93599,368.29035,130.80526,101.347965,42.713185,146.97237,1632.6531,251.0199,222.41994,129.38631,330.46927,1076.80295,307.5346,220.50717,133.6541,351.555635
"MS4A1",,,,,,,,,,,,,,623.1824,,,,,705.3015,,,,
"VPREB3",,,,,,,,,,,,,,572.24603,,,,,459.787775,,,,
"CD74",2615.7651,502.2602,457.32785,498.008,,175.20822,181.30741,,232.42301,19912.5995,14932.1795,10002.0165,354.77768,9694.794,246.40374,322.68472,9724.712,,5665.0564,1994.7507,364.76382,11494.253,256.0492
"LYZ",,,,,,,,,,3657.2527,2606.9256,8184.3383,,,,,3345.88085,,,5971.7695,,,
"S100A9",,,,,,,,,,,,,,,,,51.9175925,,,5739.514,,,
"NKG7",,344.35263,,,,,,,,,,,1537.3699,,652.954675,,,,,,1781.2611,,
"KLRD1",,,,,,,,,,,,,645.57776,,501.454605,,,,,,1451.3788,,
"TYROBP",,,,,,,,,,42.337926,1371.87755,1511.1718,240.38461,,,325.4149,2194.05555,445.83145,,3170.8945,1003.4116,747.16077,
"FCER1G",,,,,,,,,,,432.784165,1141.28045,645.57776,,,183.75597,1606.24065,674.08154,,2772.1504,788.4362,167.30801,
"ENSG00000226260",76.68566,,,,,,,,,3519.2012,3691.79115,2890.38675,,1455.604,,,2453.03185,,204.3641,706.6139,,1875.274,
"SEC61B",777.6599,,403.49698,420.0798,,203.64526,202.18358,176.95984,,186.53975,224.4152,290.0338,72.88778,,183.3036,185.90816,246.66556,237.8687,,228.72826,156.56802,1162.7906,
"ENSG00000229074",36.547924,,,,,,,,,3047.1115,1840.62565,1621.03705,,495.54016,,,1137.94665,,104.004165,232.66635,,785.17584,
"TRAC",,443.85266,,,782.62578,609.198935,682.24485,695.89417,506.26524,,,,,,248.758085,,,,,,,,715.13713
"CD3D",,647.2492,,,615.574095,590.319,754.65995,518.0676,629.03015,,,,,,672.007125,,,,,,,,661.266775
"FYB1",,257.66553,,,570.12585,232.58519,213.083335,379.29074,367.33801,,91.3960525,106.076245,146.97237,,,,167.2801,,,223.11467,,,414.46536
"CD3E",,502.68097,,,456.152845,401.82832,378.298525,368.73157,598.62347,,,,336.28516,,541.22568,,,,,,,,486.807525
"RPS27",3325.021,12787.75,1909.8378,1494.908,16241.8165,12022.0515,11564.276,13844.983,16326.5305,5801.25905,5497.3583,2678.93955,4967.4014,15178.894,6834.17165,9629.102,3572.5361,6242.7744,14935.7645,4969.5317,8100.559,8365.4,14395.7955
