"","Species","cell_type1","Source","age","batch"
"A9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B1_c2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"B1_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B1_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B1_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B10_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B10_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B10_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B10_hOrg65d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B11_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B11_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B11_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B11_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B12_c2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"B12_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B12_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B2_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B2_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B3_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B3_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B3_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B3_hOrg65d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B4_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B4_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B4_hOrg41d","Homo sapiens","neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B4_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B5_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B5_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B5_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B6_c2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"B6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B6_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B6_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B7_c2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"B7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B7_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"B8_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B8_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B8_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B9_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"B9_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"B9_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"B9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"c1_G1_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G10_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G11_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G12_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G3_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G4_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G5_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G6_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G7_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G8_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_G9_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H1_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H10_hOrg33d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H11_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H12_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H3_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H4_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H5_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H6_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H7_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H8_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c1_H9_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"C1_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C1_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C1_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C1_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C10_c2_hOrg33d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"C10_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C10_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C10_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C11_c2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"C11_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C11_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C12_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C12_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C12_hOrg41d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C12_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"c2_C8_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_D2_hOrg33d","Homo sapiens","neuron","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_F1_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_F6_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_G6_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_G7_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_G8_hOrg33d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_H1_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_H2_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"c2_H6_hOrg33d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","33 days","iPSC 409B2"
"C2_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C2_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C2_hOrg41d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C2_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C3_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C3_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C3_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C3_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C4_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C4_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C5_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C5_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C5_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C6_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C6_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C6_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C7_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C7_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C8_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C8_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C8_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"C9_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"C9_hOrg37d","Homo sapiens","neuron","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"C9_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"C9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D1_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D1_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D1_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D1_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D10_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D10_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D11_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D11_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D11_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D11_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D12_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D12_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D12_hOrg41d","Homo sapiens","neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D12_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D2_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D2_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D2_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D3_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D3_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D3_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D3_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D4_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D4_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D4_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D4_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D5_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D5_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D6_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D6_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D7_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D7_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D8_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D8_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D8_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"D8_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"D9_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"D9_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"D9_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E1_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E1_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E1_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E10_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E10_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E10_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E11_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E11_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E11_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E12_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E12_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E2_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E2_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E2_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E2_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E3_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E3_hOrg37d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E3_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E3_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E4_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E4_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E4_hOrg65d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E5_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E5_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E6_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E6_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E7_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E8_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E8_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E8_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"E9_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"E9_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"E9_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"E9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F1_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F10_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F10_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F10_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F10_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F11_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F11_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F11_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F11_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F12_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F12_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F12_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F12_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F2_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F2_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F2_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F2_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F3_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F3_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F3_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F3_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F4_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F4_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F4_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F4_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F5_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F5_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F6_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F7_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F7_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F8_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F8_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F8_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"F9_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"F9_hOrg37d","Homo sapiens","neuron","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"F9_hOrg41d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"F9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G1_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G1_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G10_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G10_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G10_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G11_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G11_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G11_hOrg65d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G12_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
